dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
,rectgen,100,10000,10000,ours,sampling,10000,3,1,24.2451,3.16745,22.5163,27.3623,2.01227e+06,0,1,
,rectgen,100,10000,10000,kd_tree,sampling,10000,3,1,80.9893,0.133646,81.0156,81.0986,2.01227e+06,0,1,
,rectgen,100,10000,10000,ours,sampling,50000,3,1,26.0761,0.791761,25.6576,26.8562,2.01227e+06,0,1,
,rectgen,100,10000,10000,kd_tree,sampling,50000,3,1,107.697,0.146004,107.72,107.82,2.01227e+06,0,1,
,rectgen,100,10000,10000,ours,sampling,100000,3,1,27.9218,0.0599192,27.9477,27.9628,2.01227e+06,0,1,
,rectgen,100,10000,10000,kd_tree,sampling,100000,3,1,112.965,0.0888452,113.01,113.021,2.01227e+06,0,1,
,rectgen,100,10000,10000,ours,sampling,10000,3,1,23.703,2.28933,22.4074,25.9525,2.00819e+06,0,1,
,rectgen,100,10000,10000,kd_tree,sampling,10000,3,1,80.1501,0.213204,80.2041,80.3185,2.00819e+06,0,1,
,rectgen,100,10000,10000,ours,sampling,50000,3,1,25.4632,0.180276,25.4788,25.6196,2.00819e+06,0,1,
,rectgen,100,10000,10000,kd_tree,sampling,50000,3,1,106.38,0.0349158,106.39,106.407,2.00819e+06,0,1,
,rectgen,100,10000,10000,ours,sampling,100000,3,1,27.82,0.104484,27.8796,27.8809,2.00819e+06,0,1,
,rectgen,100,10000,10000,kd_tree,sampling,100000,3,1,111.272,0.202945,111.305,111.441,2.00819e+06,0,1,
,rectgen,100,2000,2000,ours,sampling,10000,3,1,425.398,0.888109,424.94,426.274,396390,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,10000,3,1,41.2473,0.155732,41.2251,41.3941,396390,0,1,
,rectgen,100,2000,2000,ours,sampling,50000,3,1,446.676,19.5299,457.39,458.393,396390,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,50000,3,1,44.7796,0.0504467,44.7622,44.829,396390,0,1,
,rectgen,100,2000,2000,ours,sampling,100000,3,1,452.903,15.59,461.585,462.156,396390,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,100000,3,1,49.3279,0.0696086,49.2931,49.3966,396390,0,1,
,rectgen,100,2000,2000,ours,sampling,10000,3,1,413.252,11.3311,419.698,419.87,391511,0,1,
