dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
,rectgen,100,2000,2000,ours,sampling,10000,3,1,425.398,0.888109,424.94,426.274,396390,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,10000,3,1,41.2473,0.155732,41.2251,41.3941,396390,0,1,
,rectgen,100,2000,2000,ours,sampling,50000,3,1,446.676,19.5299,457.39,458.393,396390,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,50000,3,1,44.7796,0.0504467,44.7622,44.829,396390,0,1,
,rectgen,100,2000,2000,ours,sampling,100000,3,1,452.903,15.59,461.585,462.156,396390,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,100000,3,1,49.3279,0.0696086,49.2931,49.3966,396390,0,1,
,rectgen,100,2000,2000,ours,sampling,10000,3,1,413.252,11.3311,419.698,419.87,391511,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,10000,3,1,40.29,0.17717,40.3581,40.4165,391511,0,1,
,rectgen,100,2000,2000,ours,sampling,50000,3,1,444.557,15.843,452.727,454.455,391511,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,50000,3,1,43.5855,0.179209,43.6541,43.7137,391511,0,1,
,rectgen,100,2000,2000,ours,sampling,100000,3,1,454.23,17.2913,463.381,464.859,391511,0,1,
,rectgen,100,2000,2000,kd_tree,sampling,100000,3,1,48.0194,0.113695,48.0748,48.0928,391511,0,1,
