dataset,generator,alpha,n_r,n_s,method,variant,t,rep,seed,ok,error,wall_ms,count_value,count_exact,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
,rectgen,100,200,200,ours,sampling,10000,0,1,1,,675.458,40000,1,0,0,0,,0,"{""build_events_ms"":0.080624,""build_mode_families_ms"":146.418936,""phase1_count_ms"":299.534340,""phase2_plan_ms"":0.317026,""phase3_sample_ms"":229.042417,""run_build_ms"":146.519590,""run_count_ms"":299.536271,""run_sample_ms"":229.383341}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,ours,sampling,10000,1,2,1,,706.07,40000,1,0,0,0,,0,"{""build_events_ms"":0.044376,""build_mode_families_ms"":91.102249,""phase1_count_ms"":293.326175,""phase2_plan_ms"":0.257431,""phase3_sample_ms"":229.323674,""run_build_ms"":91.156204,""run_count_ms"":293.328215,""run_sample_ms"":229.589094}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,ours,sampling,10000,2,3,1,,708.821,40000,1,0,0,0,,0,"{""build_events_ms"":0.044816,""build_mode_families_ms"":91.127420,""phase1_count_ms"":290.915893,""phase2_plan_ms"":0.249042,""phase3_sample_ms"":229.929501,""run_build_ms"":91.180645,""run_count_ms"":290.918693,""run_sample_ms"":230.185992}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,kd_tree,sampling,10000,0,1,1,,0.818579,40000,1,0,0,0,,0,"{""build_ms"":0.050496,""build_points_ms"":0.049286,""phase1_count_ms"":0.012789,""phase2_plan_ms"":0.558568,""phase3_fill_ms"":0.174617,""run_build_ms"":0.066325,""run_count_ms"":0.013349,""run_sample_ms"":0.737355}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,kd_tree,sampling,10000,1,2,1,,0.775242,40000,1,0,0,0,,0,"{""build_ms"":0.029817,""build_points_ms"":0.029608,""phase1_count_ms"":0.011229,""phase2_plan_ms"":0.570098,""phase3_fill_ms"":0.161348,""run_build_ms"":0.029977,""run_count_ms"":0.011439,""run_sample_ms"":0.733336}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,kd_tree,sampling,10000,2,3,1,,0.763113,40000,1,0,0,0,,0,"{""build_ms"":0.027788,""build_points_ms"":0.027618,""phase1_count_ms"":0.011119,""phase2_plan_ms"":0.561198,""phase3_fill_ms"":0.160178,""run_build_ms"":0.027958,""run_count_ms"":0.011269,""run_sample_ms"":0.723356}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,ours,sampling,50000,0,1,1,,625.672,40000,1,0,0,0,,0,"{""build_events_ms"":0.030068,""build_mode_families_ms"":89.438261,""phase1_count_ms"":292.490109,""phase2_plan_ms"":1.331830,""phase3_sample_ms"":242.311717,""run_build_ms"":89.475639,""run_count_ms"":292.492579,""run_sample_ms"":243.701252}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,ours,sampling,50000,1,2,1,,729.209,40000,1,0,0,0,,0,"{""build_events_ms"":0.045077,""build_mode_families_ms"":91.673113,""phase1_count_ms"":296.220634,""phase2_plan_ms"":1.251906,""phase3_sample_ms"":244.582958,""run_build_ms"":91.728230,""run_count_ms"":296.223434,""run_sample_ms"":245.848622}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,ours,sampling,50000,2,3,1,,727.679,40000,1,0,0,0,,0,"{""build_events_ms"":0.044477,""build_mode_families_ms"":93.091916,""phase1_count_ms"":296.491512,""phase2_plan_ms"":1.152294,""phase3_sample_ms"":244.387484,""run_build_ms"":93.145443,""run_count_ms"":296.494542,""run_sample_ms"":245.553548}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
,rectgen,100,200,200,kd_tree,sampling,50000,0,1,1,,3.85326,40000,1,0,0,0,,0,"{""build_ms"":0.047386,""build_points_ms"":0.046126,""phase1_count_ms"":0.013159,""phase2_plan_ms"":3.117318,""phase3_fill_ms"":0.659561,""run_build_ms"":0.047926,""run_count_ms"":0.013879,""run_sample_ms"":3.789887}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""dim"":5,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":200,""n_s"":200,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d5"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d5__nr200__ns200__a1_000ep02__g7"",""n_r"":200,""n_s"":200,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100,""notes"":""alacarte-local alpha_expected_est=100 coverage=72407.7 pair_p_est=1 alpha_hat_est=100 epsilon_alpha=0 audit_pairs=2000000""}"
