dim,n_r,t,ours_mean_ms,ours_min_ms,ours_max_ms,kd_mean_ms,kd_min_ms,kd_max_ms,speedup_geomean,speedup_min,speedup_max
d2,10000,10000,23.974050,23.703000,24.245100,80.569700,80.150100,80.989300,3.360874,3.340440,3.381433
d2,10000,50000,25.769650,25.463200,26.076100,107.038500,106.380000,107.697000,4.153880,4.130104,4.177794
d2,10000,100000,27.870900,27.820000,27.921800,112.118500,111.272000,112.965000,4.022672,3.999712,4.045764
d3,2000,10000,419.325000,413.252000,425.398000,40.768650,40.290000,41.247300,0.097228,0.096962,0.097495
d3,2000,50000,445.616500,444.557000,446.676000,44.182550,43.585500,44.779600,0.099140,0.098043,0.100251
d3,2000,100000,453.566500,452.903000,454.230000,48.673650,48.019400,49.327900,0.107304,0.105716,0.108915
d4,500,10000,718.365500,715.522000,721.209000,9.252005,9.225320,9.278690,0.012879,0.012791,0.012968
d4,500,50000,728.735000,723.577000,733.893000,12.367450,12.350600,12.384300,0.016972,0.016875,0.017069
d4,500,100000,743.152000,742.023000,744.281000,16.524950,16.503500,16.546400,0.022236,0.022174,0.022299
d5,200,10000,683.936500,671.090000,696.783000,0.785125,0.784605,0.785645,0.001169,0.001169,0.001169
d5,200,50000,690.156500,686.126000,694.187000,3.887950,3.881190,3.894710,0.005657,0.005657,0.005657
d5,200,100000,695.335500,690.110000,700.561000,8.184595,7.901910,8.467280,0.012269,0.012269,0.012269
