dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,ours,sampling,1000,6,1,511.413,7.70441,514.236,516.363,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,ours,enum_sampling,1000,6,1,461.149,14.3495,466.297,468.753,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,ours,adaptive,1000,6,1,557.876,21.2457,566.697,567.37,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,aabb,sampling,1000,6,1,714.429,32.7855,702.435,762.717,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,aabb,enum_sampling,1000,6,1,1222.6,2.12722,1221.73,1225.38,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,aabb,adaptive,1000,6,1,1085.5,6.5997,1085.21,1094.42,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,interval_tree,sampling,1000,6,1,826.291,14.7431,820.61,847.971,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,interval_tree,enum_sampling,1000,6,1,801.17,2.98952,800.811,805.169,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,interval_tree,adaptive,1000,6,1,1201.67,5.61789,1200.86,1209.21,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,kd_tree,sampling,1000,6,1,342.427,1.3741,342.262,344.263,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,kd_tree,enum_sampling,1000,6,1,657.574,0.572366,657.486,658.353,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,kd_tree,adaptive,1000,6,1,626.805,2.09248,626.018,629.914,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,r_tree,sampling,1000,6,1,601.365,3.2648,600.788,605.455,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,r_tree,enum_sampling,1000,6,1,733.11,1.18731,733.268,734.354,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,r_tree,adaptive,1000,6,1,865.169,3.23052,865.899,868.345,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,range_tree,sampling,1000,6,1,1803.66,1.44909,1803.5,1805.46,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,range_tree,enum_sampling,1000,6,1,1959.4,1.38163,1959.46,1961.22,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,range_tree,adaptive,1000,6,1,2375.01,1.04594,2374.96,2376.31,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,pbsm,sampling,1000,6,1,32.1176,0.202492,32.1207,32.3763,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,pbsm,enum_sampling,1000,6,1,32.2301,0.0877082,32.2205,32.3301,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,pbsm,adaptive,1000,6,1,32.4723,0.451485,32.3742,33.1083,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,tlsop,sampling,1000,6,1,1412.71,1.90501,1412,1415.49,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,tlsop,enum_sampling,1000,6,1,1416.96,6.42376,1416.35,1425.47,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,tlsop,adaptive,1000,6,1,1503.98,10.5624,1506.11,1513.72,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,sirs,sampling,1000,6,1,2864.39,1.24986,2864.13,2866.03,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,sirs,enum_sampling,1000,6,1,3480.45,1.40781,3480.5,3482.2,200000,0,1,
stripe_t__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,1,100000,100000,sirs,adaptive,1000,6,1,2863.62,1.56341,2863.71,2865.52,200000,0,1,
