dataset,generator,n_r,n_s,method,alpha,runs,enumerate_all,fallback_sampling,fallback_sampling_no_pilot,other,enumerate_frac,fallback_frac,fallback_no_pilot_frac,other_frac,fallback_total_frac
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,100000,100000,aabb,0,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,100000,100000,aabb,0.03,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,100000,100000,aabb,0.1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,100000,100000,aabb,0.3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,100000,100000,aabb,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,100000,100000,aabb,3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,100000,100000,aabb,4,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a5_000ep00__g1,stripe_ctrl_alpha,100000,100000,aabb,5,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a6_000ep00__g1,stripe_ctrl_alpha,100000,100000,aabb,6,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep01__g1,stripe_ctrl_alpha,100000,100000,aabb,10,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep01__g1,stripe_ctrl_alpha,100000,100000,aabb,30,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a1_000ep02__g1,stripe_ctrl_alpha,100000,100000,aabb,100,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a3_000ep02__g1,stripe_ctrl_alpha,100000,100000,aabb,300,3,0,3,0,0,0.0,1.0,0.0,0.0,1.0
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,100000,100000,interval_tree,0,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,100000,100000,interval_tree,0.03,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,100000,100000,interval_tree,0.1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000em01__g1,stripe_ctrl_alpha,100000,100000,interval_tree,0.3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a1_000ep00__g1,stripe_ctrl_alpha,100000,100000,interval_tree,1,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a3_000ep00__g1,stripe_ctrl_alpha,100000,100000,interval_tree,3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
stripe_alpha__nr100000__ns100000__a4_000ep00__g1,stripe_ctrl_alpha,100000,100000,interval_tree,4,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0
