dataset,generator,alpha,n_r,n_s,method,variant,t,rep,seed,ok,wall_ms,count_value,count_exact,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,sampling,100000,0,1,1,354.448,0,1,0,0,0,,0,"{""build_active_indices_ms"":25.631628,""build_events_ms"":36.021570,""build_ranks_ms"":40.344843,""build_y_domain_ms"":14.378620,""phase1_count_ms"":235.911668,""run_build_ms"":118.525893,""run_count_ms"":235.914898,""run_sample_ms"":0.000650}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,sampling,100000,1,2,1,367.9,0,1,0,0,0,,0,"{""build_active_indices_ms"":5.442212,""build_events_ms"":42.304297,""build_ranks_ms"":40.037708,""build_y_domain_ms"":13.998468,""phase1_count_ms"":223.022620,""run_build_ms"":102.285216,""run_count_ms"":223.025899,""run_sample_ms"":0.000529}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,sampling,100000,2,3,1,366.337,0,1,0,0,0,,0,"{""build_active_indices_ms"":5.415982,""build_events_ms"":41.890425,""build_ranks_ms"":40.033408,""build_y_domain_ms"":13.980728,""phase1_count_ms"":221.972579,""run_build_ms"":101.819634,""run_count_ms"":221.977039,""run_sample_ms"":0.000230}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,adaptive,100000,0,1,1,335.469,0,1,1,0,0,enumerate_all,0,"{""build_active_indices_ms"":20.166376,""build_events_ms"":34.262472,""build_ranks_ms"":40.034109,""build_y_domain_ms"":13.989707,""run_build_ms"":108.957216,""run_pilot_enum_prepare_ms"":1.561552,""run_pilot_enum_scan_ms"":224.919535}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,adaptive,100000,1,2,1,364.035,0,1,1,0,0,enumerate_all,0,"{""build_active_indices_ms"":5.480812,""build_events_ms"":41.927014,""build_ranks_ms"":40.004259,""build_y_domain_ms"":13.976248,""run_build_ms"":101.894063,""run_pilot_enum_prepare_ms"":1.504563,""run_pilot_enum_scan_ms"":217.970630}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,adaptive,100000,2,3,1,365.883,0,1,1,0,0,enumerate_all,0,"{""build_active_indices_ms"":6.774748,""build_events_ms"":41.473273,""build_ranks_ms"":40.006979,""build_y_domain_ms"":13.963098,""run_build_ms"":102.712259,""run_pilot_enum_prepare_ms"":1.524892,""run_pilot_enum_scan_ms"":219.149949}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,aabb,sampling,100000,0,1,1,498.03,0,1,0,0,0,,0,"{""build_ms"":34.935030,""phase1_count_ms"":463.064372,""run_build_ms"":34.949280,""run_count_ms"":463.066952,""run_sample_ms"":0.010560}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,aabb,sampling,100000,1,2,1,499.6,0,1,0,0,0,,0,"{""build_ms"":34.912541,""phase1_count_ms"":464.681053,""run_build_ms"":34.913771,""run_count_ms"":464.683292,""run_sample_ms"":0.000460}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,aabb,sampling,100000,2,3,1,500.15,0,1,0,0,0,,0,"{""build_ms"":34.939130,""phase1_count_ms"":465.204733,""run_build_ms"":34.940540,""run_count_ms"":465.207502,""run_sample_ms"":0.000520}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,aabb,adaptive,100000,0,1,1,632.981,0,1,1,0,0,enumerate_all,0,"{""build_ms"":34.902301,""enumerate_prepare_ms"":34.476459,""run_build_ms"":34.903321,""run_pilot_enum_prepare_ms"":34.479409,""run_pilot_enum_scan_ms"":563.584299}",,"{""dataset"":{""source"":""synthetic"",""name"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""stripe_ctrl_alpha"",""n_r"":100000,""n_s"":100000,""alpha"":0,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SIGMOD-EXP/Join-Sampling/run/temp/exp3"",""run_tag"":""alpha_sweep""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""stripe_ctrl_alpha"",""dataset"":""stripe_alpha__nr100000__ns100000__a0_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":true,""k_target"":0,""k_achieved"":0,""alpha_target"":0,""alpha_achieved"":0,""notes"":""control_axis=1, core=[0.45,0.55], g=9.9999e-07, h=9e-06, delta=2.49998e-07, shuffle_strips=1, shuffle_r=0, k_overridden=0""}"
