alpha,t,N,method,variant,wall_median_ms,wall_p95_ms,build_median_ms,build_p95_ms,count_value,count_exact,enum_truncated_any,used_enumeration_any,rss_kb,rss_mb,exit_code,enum_truncated_any_rss,wall_median_s,wall_p95_s,build_median_s,build_p95_s
5,100000,50000,aabb,adaptive,412.38,415.4052,17.215628,19.143151800000002,500000.0,1,0,1,44948,43.89453125,0,0,0.41237999999999997,0.4154052,0.017215628,0.0191431518
5,100000,50000,aabb,enum_sampling,754.285,756.2174,0.00103,0.004069999999999999,500000.0,1,0,1,34848,34.03125,0,0,0.754285,0.7562174,1.03e-06,4.069999999999999e-06
5,100000,50000,aabb,sampling,566.818,570.085,17.961711,18.697069799999998,500000.0,1,0,0,32616,31.8515625,0,0,0.5668179999999999,0.5700850000000001,0.017961711,0.018697069799999997
5,100000,50000,interval_tree,adaptive,305.834,354.5212,61.866014,80.7611408,500000.0,1,0,1,266444,260.19921875,0,0,0.305834,0.35452120000000004,0.061866014,0.0807611408
5,100000,50000,interval_tree,enum_sampling,361.296,391.8802,0.00129,0.009377999999999997,500000.0,1,0,1,145196,141.79296875,0,0,0.361296,0.3918802,1.29e-06,9.377999999999997e-06
5,100000,50000,interval_tree,sampling,363.002,377.236,63.798111,78.24968779999999,500000.0,1,0,0,150588,147.05859375,0,0,0.363002,0.377236,0.063798111,0.0782496878
5,100000,50000,kd_tree,adaptive,226.951,233.4584,44.688495,47.6015684,500000.0,1,0,1,45684,44.61328125,0,0,0.22695099999999999,0.2334584,0.044688495,0.047601568399999995
5,100000,50000,kd_tree,enum_sampling,318.68,321.7894,0.00115,0.004731999999999999,500000.0,1,0,1,31448,30.7109375,0,0,0.31868,0.3217894,1.15e-06,4.731999999999999e-06
5,100000,50000,kd_tree,sampling,188.74,192.2194,45.441779,48.4904354,500000.0,1,0,0,34880,34.0625,0,0,0.18874000000000002,0.1922194,0.045441778999999995,0.048490435400000004
5,100000,50000,ours,adaptive,155.872,158.5934,47.826734,53.322529599999996,500000.0,1,0,1,102832,100.421875,0,0,0.155872,0.1585934,0.047826734,0.053322529599999995
5,100000,50000,ours,enum_sampling,201.093,202.7876,47.833284,52.9716112,500000.0,1,0,1,95396,93.16015625,0,0,0.201093,0.20278759999999998,0.047833284,0.0529716112
5,100000,50000,ours,sampling,214.309,217.93800000000002,47.929152,53.1208674,500000.0,1,0,0,98704,96.390625,0,0,0.214309,0.21793800000000002,0.047929152,0.0531208674
5,100000,50000,pbsm,adaptive,18.4419,20.00406,10.722339,11.024637,500000.0,1,0,1,13160,12.8515625,0,0,0.0184419,0.02000406,0.010722339,0.011024637
5,100000,50000,pbsm,enum_sampling,34.5631,34.760419999999996,10.790937,11.0358962,500000.0,1,0,1,10756,10.50390625,0,0,0.0345631,0.03476041999999999,0.010790936999999999,0.011035896199999999
5,100000,50000,pbsm,sampling,31.3512,31.4756,10.786808,10.9206016,500000.0,1,0,0,10748,10.49609375,0,0,0.031351199999999996,0.0314756,0.010786808,0.0109206016
5,100000,50000,r_tree,adaptive,208.722,209.9384,17.820366,18.6129362,500000.0,1,0,1,34996,34.17578125,0,0,0.20872200000000002,0.2099384,0.017820366,0.0186129362
5,100000,50000,r_tree,enum_sampling,356.238,359.7362,17.399535,18.7722542,500000.0,1,0,1,36324,35.47265625,0,0,0.356238,0.3597362,0.017399535,0.018772254199999998
5,100000,50000,r_tree,sampling,300.67,303.9028,17.821466,19.1698044,500000.0,1,0,0,25556,24.95703125,0,0,0.30067,0.30390280000000003,0.017821466,0.0191698044
5,100000,50000,range_tree,adaptive,530.781,539.9222,42.785829,50.9298958,500000.0,1,0,1,78916,77.06640625,0,0,0.530781,0.5399222,0.042785829,0.0509298958
5,100000,50000,range_tree,enum_sampling,798.295,815.6792,0.00101,0.00546,500000.0,1,0,1,46676,45.58203125,0,0,0.798295,0.8156792,1.01e-06,5.459999999999999e-06
5,100000,50000,range_tree,sampling,724.851,733.404,43.584281,50.413785,500000.0,1,0,0,43528,42.5078125,0,0,0.724851,0.733404,0.043584280999999996,0.050413784999999996
5,100000,50000,rejection,adaptive,552.499,553.3436,143.495166,151.4497932,500000.0,1,0,1,52116,50.89453125,0,0,0.5524990000000001,0.5533436,0.143495166,0.1514497932
5,100000,50000,rejection,enum_sampling,560.403,562.3032000000001,141.290592,148.59466079999999,500000.0,1,0,1,49936,48.765625,0,0,0.560403,0.5623032000000001,0.141290592,0.14859466079999997
5,100000,50000,rejection,sampling,941.297,956.7214,142.510214,150.3960392,503912.0,0,0,0,48964,47.81640625,0,0,0.941297,0.9567214,0.142510214,0.1503960392
5,100000,50000,sirs,adaptive,715.53,718.9478,54.05469,55.827916,500000.0,1,0,1,16644,16.25390625,0,0,0.71553,0.7189478,0.05405469,0.055827916000000005
5,100000,50000,sirs,enum_sampling,720.264,721.3182,54.013359,55.2797318,500000.0,1,0,1,14224,13.890625,0,0,0.720264,0.7213182,0.054013359000000004,0.0552797318
5,100000,50000,sirs,sampling,597.933,602.1426,54.510339,56.244640999999994,500000.0,1,0,0,15212,14.85546875,0,0,0.597933,0.6021426,0.054510339000000005,0.05624464099999999
5,100000,50000,tlsop,adaptive,323.625,325.8852,164.506884,166.4085518,500000.0,1,0,1,28288,27.625,0,0,0.323625,0.3258852,0.16450688400000002,0.1664085518
5,100000,50000,tlsop,enum_sampling,488.974,491.3418,164.879864,167.3196906,500000.0,1,0,1,25976,25.3671875,0,0,0.48897399999999996,0.4913418,0.164879864,0.16731969060000002
5,100000,50000,tlsop,sampling,485.675,488.3542,164.507841,167.1772826,500000.0,1,0,0,25960,25.3515625,0,0,0.485675,0.4883542,0.16450784100000002,0.1671772826
5,100000,50000,tsunami,adaptive,1644.61,1646.846,39.644963,41.9553664,500000.0,1,0,1,23828,23.26953125,0,0,1.64461,1.646846,0.039644963,0.0419553664
5,100000,50000,tsunami,enum_sampling,1662.79,1665.0720000000001,39.591973,41.6852324,500000.0,1,0,1,21456,20.953125,0,0,1.66279,1.665072,0.039591973,0.041685232399999994
5,100000,50000,tsunami,sampling,1539.29,1543.0700000000002,39.632042,42.3633492,500000.0,1,0,0,22548,22.01953125,0,0,1.53929,1.5430700000000002,0.039632042,0.042363349200000004
5,100000,100000,aabb,adaptive,1054.32,1066.156,37.847497,39.2790278,1000000.0,1,0,1,85568,83.5625,0,0,1.05432,1.0661559999999999,0.037847496999999994,0.039279027800000005
5,100000,100000,aabb,enum_sampling,1976.94,1980.724,0.00095,0.004345799999999999,1000000.0,1,0,1,65200,63.671875,0,0,1.9769400000000001,1.980724,9.5e-07,4.345799999999998e-06
5,100000,100000,aabb,sampling,1255.84,1260.658,38.229326,39.4572556,1000000.0,1,0,0,60940,59.51171875,0,0,1.2558399999999998,1.2606579999999998,0.038229326,0.039457255600000005
5,100000,100000,interval_tree,adaptive,728.562,799.975,132.885133,168.3581702,1000000.0,1,0,1,535808,523.25,0,0,0.728562,0.799975,0.132885133,0.1683581702
5,100000,100000,interval_tree,enum_sampling,824.385,867.6242,0.00143,0.0034059999999999997,1000000.0,1,0,1,292652,285.79296875,0,0,0.824385,0.8676242,1.43e-06,3.4059999999999997e-06
5,100000,100000,interval_tree,sampling,854.056,867.6120000000001,138.256385,169.60753499999998,1000000.0,1,0,0,304276,297.14453125,0,0,0.854056,0.867612,0.13825638499999998,0.16960753499999998
5,100000,100000,kd_tree,adaptive,516.796,526.8299999999999,96.922049,101.84848099999999,1000000.0,1,0,1,91260,89.12109375,0,0,0.516796,0.5268299999999999,0.096922049,0.10184848099999999
5,100000,100000,kd_tree,enum_sampling,708.237,721.059,0.00085,0.004495999999999999,1000000.0,1,0,1,58660,57.28515625,0,0,0.708237,0.721059,8.499999999999999e-07,4.495999999999999e-06
5,100000,100000,kd_tree,sampling,394.661,399.3804,97.313118,101.2692064,1000000.0,1,0,0,53944,52.6796875,0,0,0.394661,0.3993804,0.097313118,0.1012692064
5,100000,100000,ours,adaptive,383.735,389.6966,104.137071,113.9899456,1000000.0,1,0,1,196172,191.57421875,0,0,0.383735,0.3896966,0.10413707100000001,0.1139899456
5,100000,100000,ours,enum_sampling,494.237,499.5442,104.016592,113.3420218,1000000.0,1,0,1,185336,180.9921875,0,0,0.49423700000000004,0.4995442,0.104016592,0.1133420218
5,100000,100000,ours,sampling,523.571,526.3216,104.457342,114.3317628,1000000.0,1,0,0,198320,193.671875,0,0,0.523571,0.5263216,0.104457342,0.1143317628
5,100000,100000,pbsm,adaptive,39.2826,42.1551,23.121704,23.6173328,1000000.0,1,0,1,21096,20.6015625,0,0,0.0392826,0.042155099999999994,0.023121704,0.023617332799999998
5,100000,100000,pbsm,enum_sampling,62.1799,62.516360000000006,23.185222,23.4915016,1000000.0,1,0,1,15092,14.73828125,0,0,0.0621799,0.06251636,0.023185222,0.0234915016
5,100000,100000,pbsm,sampling,58.7842,59.08202,23.132432,23.3815472,1000000.0,1,0,0,15140,14.78515625,0,0,0.0587842,0.05908202,0.023132432,0.023381547199999998
5,100000,100000,r_tree,adaptive,456.123,461.493,37.416059,40.0896962,1000000.0,1,0,1,66012,64.46484375,0,0,0.456123,0.461493,0.037416058999999995,0.0400896962
5,100000,100000,r_tree,enum_sampling,779.012,792.856,37.258232,38.8567064,1000000.0,1,0,1,68312,66.7109375,0,0,0.7790119999999999,0.792856,0.037258232,0.0388567064
5,100000,100000,r_tree,sampling,643.151,651.3,37.649533,39.780578,1000000.0,1,0,0,49768,48.6015625,0,0,0.6431509999999999,0.6513,0.037649533,0.039780578
5,100000,100000,range_tree,adaptive,1371.16,1397.004,91.287506,106.2569582,1000000.0,1,0,1,156532,152.86328125,0,0,1.3711600000000002,1.397004,0.09128750599999999,0.1062569582
5,100000,100000,range_tree,enum_sampling,2086.3,2098.7819999999997,0.00084,0.004853999999999999,1000000.0,1,0,1,89584,87.484375,0,0,2.0863,2.0987819999999995,8.4e-07,4.853999999999999e-06
5,100000,100000,range_tree,sampling,1954.69,1969.05,93.168152,106.25937819999999,1000000.0,1,0,0,85932,83.91796875,0,0,1.95469,1.96905,0.093168152,0.10625937819999999
5,100000,100000,rejection,adaptive,1644.41,1670.386,282.102053,298.79877700000003,1000000.0,1,0,1,98536,96.2265625,0,0,1.6444100000000001,1.670386,0.282102053,0.298798777
5,100000,100000,rejection,enum_sampling,1675.93,1679.408,284.712282,299.1383084,1000000.0,1,0,1,92012,89.85546875,0,0,1.6759300000000001,1.679408,0.28471228200000004,0.29913830840000005
5,100000,100000,rejection,sampling,2479.3,2492.2920000000004,285.504396,299.1156314,1025980.0,0,0,0,91992,89.8359375,0,0,2.4793000000000003,2.4922920000000004,0.285504396,0.29911563139999997
5,100000,100000,sirs,adaptive,3579.0,3583.458,119.943635,122.7697992,1000000.0,1,0,1,28224,27.5625,0,0,3.579,3.5834580000000003,0.119943635,0.12276979919999999
5,100000,100000,sirs,enum_sampling,3570.38,3575.496,119.902429,122.898696,1000000.0,1,0,1,21816,21.3046875,0,0,3.57038,3.5754960000000002,0.119902429,0.122898696
5,100000,100000,sirs,sampling,2910.69,2913.832,119.809969,122.8733288,1000000.0,1,0,0,24428,23.85546875,0,0,2.91069,2.9138319999999998,0.11980996899999999,0.1228733288
5,100000,100000,tlsop,adaptive,933.596,937.2678000000001,394.636912,398.8909758,1000000.0,1,0,1,49764,48.59765625,0,0,0.933596,0.9372678000000001,0.394636912,0.3988909758
5,100000,100000,tlsop,enum_sampling,1474.99,1478.978,393.590157,398.5756442,1000000.0,1,0,1,43508,42.48828125,0,0,1.47499,1.4789780000000001,0.393590157,0.3985756442
5,100000,100000,tlsop,sampling,1470.63,1474.254,394.646004,399.13124880000004,1000000.0,1,0,0,43648,42.625,0,0,1.47063,1.474254,0.394646004,0.39913124880000006
5,100000,100000,tsunami,adaptive,5849.88,5854.17,87.071865,91.3205098,1000000.0,1,0,1,42668,41.66796875,0,0,5.84988,5.85417,0.087071865,0.09132050979999999
5,100000,100000,tsunami,enum_sampling,5867.49,5874.4839999999995,87.10858,91.1063478,1000000.0,1,0,1,37108,36.23828125,0,0,5.86749,5.874484,0.08710858,0.0911063478
5,100000,100000,tsunami,sampling,5391.99,5396.424,86.906546,91.5920892,1000000.0,1,0,0,38000,37.109375,0,0,5.39199,5.396424,0.086906546,0.0915920892
5,100000,200000,aabb,adaptive,3604.51,3625.822,78.6486,81.6909356,2000000.0,1,1,0,181136,176.890625,0,1,3.6045100000000003,3.6258220000000003,0.0786486,0.0816909356
5,100000,200000,aabb,enum_sampling,3551.49,3576.042,0.00066,0.004517799999999999,2000000.0,1,0,1,126100,123.14453125,0,0,3.55149,3.5760419999999997,6.6e-07,4.5177999999999985e-06
5,100000,200000,aabb,sampling,2186.53,2203.3799999999997,78.700053,81.6195402,2000000.0,1,0,0,115704,112.9921875,0,0,2.1865300000000003,2.2033799999999997,0.07870005299999999,0.08161954020000001
5,100000,200000,interval_tree,adaptive,2993.82,3013.5,301.394887,354.0305768,2000000.0,1,1,0,1202496,1174.3125,0,1,2.9938200000000004,3.0135,0.301394887,0.3540305768
5,100000,200000,interval_tree,enum_sampling,1974.11,1989.676,0.00151,0.0042179999999999995,2000000.0,1,0,1,595804,581.83984375,0,0,1.9741099999999998,1.989676,1.5100000000000002e-06,4.217999999999999e-06
5,100000,200000,interval_tree,sampling,1974.51,1981.7259999999999,302.827944,357.54392379999996,2000000.0,1,0,0,621156,606.59765625,0,0,1.97451,1.9817259999999999,0.302827944,0.35754392379999994
5,100000,200000,kd_tree,adaptive,1758.72,1782.6399999999999,200.820667,209.5109474,2000000.0,1,1,0,161800,158.0078125,0,1,1.75872,1.7826399999999998,0.20082066699999998,0.20951094739999998
5,100000,200000,kd_tree,enum_sampling,1674.33,1723.9959999999999,0.00084,0.0044659999999999995,2000000.0,1,0,1,112324,109.69140625,0,0,1.6743299999999999,1.7239959999999999,8.4e-07,4.465999999999999e-06
5,100000,200000,kd_tree,sampling,964.604,973.6002000000001,201.700864,208.8226556,2000000.0,1,0,0,102168,99.7734375,0,0,0.964604,0.9736002000000001,0.201700864,0.2088226556
5,100000,200000,ours,adaptive,1479.05,1489.2179999999998,236.144944,247.9879892,2000000.0,1,1,0,408768,399.1875,0,1,1.47905,1.489218,0.23614494400000002,0.24798798919999998
5,100000,200000,ours,enum_sampling,1194.02,1199.182,232.781861,244.56825840000002,2000000.0,1,0,1,372900,364.16015625,0,0,1.19402,1.199182,0.23278186099999998,0.24456825840000002
5,100000,200000,ours,sampling,1288.52,1299.95,232.483813,247.1562496,2000000.0,1,0,0,393708,384.48046875,0,0,1.2885199999999999,1.29995,0.232483813,0.2471562496
5,100000,200000,pbsm,adaptive,135.876,142.68019999999999,48.591638,49.3700428,2000000.0,1,1,0,37136,36.265625,0,1,0.135876,0.14268019999999998,0.048591638000000006,0.0493700428
5,100000,200000,pbsm,enum_sampling,123.555,125.3374,49.367934,49.733691,2000000.0,1,0,1,22648,22.1171875,0,0,0.12355500000000001,0.12533740000000002,0.049367933999999995,0.049733691000000003
5,100000,200000,pbsm,sampling,118.267,118.8288,49.044569,49.6128584,2000000.0,1,0,0,22512,21.984375,0,0,0.118267,0.1188288,0.049044569,0.0496128584
5,100000,200000,r_tree,adaptive,2144.93,2177.674,75.488694,81.9845612,2000000.0,1,1,0,148064,144.59375,0,1,2.14493,2.177674,0.075488694,0.0819845612
5,100000,200000,r_tree,enum_sampling,1744.86,1762.568,77.686148,80.278785,2000000.0,1,0,1,132220,129.12109375,0,0,1.7448599999999999,1.762568,0.077686148,0.080278785
5,100000,200000,r_tree,sampling,1452.56,1463.0339999999999,78.425033,82.251714,2000000.0,1,0,0,94344,92.1328125,0,0,1.4525599999999999,1.463034,0.078425033,0.082251714
5,100000,200000,range_tree,adaptive,7181.97,7215.296,191.961545,231.155838,2000000.0,1,1,0,307800,300.5859375,0,1,7.181970000000001,7.215296,0.191961545,0.231155838
5,100000,200000,range_tree,enum_sampling,5560.67,5579.032,0.001029,0.0045861999999999995,2000000.0,1,0,1,191776,187.28125,0,0,5.56067,5.579032,1.029e-06,4.586199999999999e-06
5,100000,200000,range_tree,sampling,5274.83,5321.32,191.622455,231.536577,2000000.0,1,0,0,177648,173.484375,0,0,5.27483,5.32132,0.191622455,0.231536577
5,100000,200000,rejection,adaptive,6349.48,6365.35,560.520075,599.9706126,2120030.0,0,1,0,198020,193.37890625,0,1,6.34948,6.36535,0.560520075,0.5999706126
5,100000,200000,rejection,enum_sampling,5611.62,5635.444,554.162743,590.1565776,2000000.0,1,0,1,178192,174.015625,0,0,5.61162,5.635444000000001,0.554162743,0.5901565776
5,100000,200000,rejection,sampling,6319.64,6343.592,558.6687,591.94411,2120030.0,0,0,0,178332,174.15234375,0,0,6.319640000000001,6.343591999999999,0.5586686999999999,0.59194411
5,100000,200000,sirs,adaptive,5522.18,5536.82,262.65978,267.88194680000004,2000000.0,1,1,0,64172,62.66796875,0,1,5.5221800000000005,5.53682,0.26265978,0.26788194680000005
5,100000,200000,sirs,enum_sampling,6601.89,6606.434,262.008275,267.7535536,2000000.0,1,0,1,37912,37.0234375,0,0,6.60189,6.606434,0.262008275,0.26775355359999997
5,100000,200000,sirs,sampling,5449.42,5456.276,262.68789,268.121058,2000000.0,1,0,0,43960,42.9296875,0,0,5.44942,5.456276,0.26268789,0.268121058
5,100000,200000,tlsop,adaptive,6257.36,6271.762,994.667206,1002.459668,2000000.0,1,1,0,92208,90.046875,0,1,6.257359999999999,6.271762,0.9946672059999999,1.002459668
5,100000,200000,tlsop,enum_sampling,5228.33,5235.63,993.836443,1002.2370326,2000000.0,1,0,1,78884,77.03515625,0,0,5.22833,5.2356300000000005,0.9938364430000001,1.0022370326
5,100000,200000,tlsop,sampling,5225.71,5273.09,992.603257,1000.5332377999999,2000000.0,1,0,0,78908,77.05859375,0,0,5.22571,5.27309,0.992603257,1.0005332378
5,100000,200000,tsunami,adaptive,18041.7,18057.84,190.018265,198.27486720000002,2000000.0,1,1,0,88536,86.4609375,0,1,18.041700000000002,18.05784,0.19001826500000002,0.1982748672
5,100000,200000,tsunami,enum_sampling,19870.7,19939.44,190.348014,198.6216956,2000000.0,1,0,1,69024,67.40625,0,0,19.8707,19.939439999999998,0.190348014,0.1986216956
5,100000,200000,tsunami,sampling,18212.5,18233.280000000002,189.56652,198.4035716,2000000.0,1,0,0,70620,68.96484375,0,0,18.2125,18.233280000000004,0.18956652,0.1984035716
5,100000,400000,aabb,adaptive,13927.1,14003.08,167.779085,171.8348878,4000000.0,1,1,0,310944,303.65625,0,1,13.927100000000001,14.00308,0.16777908500000002,0.1718348878
5,100000,400000,aabb,enum_sampling,19246.2,19365.08,0.00076,0.003728799999999999,4000000.0,1,0,1,214316,209.29296875,0,0,19.2462,19.365080000000003,7.6e-07,3.728799999999999e-06
5,100000,400000,aabb,sampling,9516.62,9532.812,169.905765,172.0145454,4000000.0,1,0,0,229464,224.0859375,0,0,9.516620000000001,9.532812,0.16990576500000001,0.1720145454
5,100000,400000,interval_tree,adaptive,6309.62,6359.248,664.075954,746.9491522,4000000.0,1,1,0,2406332,2349.93359375,0,1,6.30962,6.359248,0.6640759540000001,0.7469491521999999
5,100000,400000,interval_tree,enum_sampling,4545.92,4568.932,0.00166,0.005174,4000000.0,1,0,1,1219564,1190.98046875,0,0,4.54592,4.568932,1.66e-06,5.174e-06
5,100000,400000,interval_tree,sampling,4525.31,4546.73,667.428031,751.6650942,4000000.0,1,0,0,1266356,1236.67578125,0,0,4.52531,4.546729999999999,0.667428031,0.7516650942
5,100000,400000,kd_tree,adaptive,4156.93,4169.572,433.432888,448.3264582,4000000.0,1,1,0,304500,297.36328125,0,1,4.15693,4.1695720000000005,0.433432888,0.4483264582
5,100000,400000,kd_tree,enum_sampling,4249.73,4265.36,0.00084,0.003658,4000000.0,1,0,1,186388,182.01953125,0,0,4.24973,4.265359999999999,8.4e-07,3.658e-06
5,100000,400000,kd_tree,sampling,2471.28,2494.184,432.60609,447.28156079999997,4000000.0,1,0,0,198212,193.56640625,0,0,2.47128,2.494184,0.43260609,0.4472815608
