dataset,generator,alpha,n_r,n_s,method,variant,t,rep,seed,ok,wall_ms,count_value,count_exact,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,1000,0,1,1,552.866,2.16826e+07,1,0,0,0,,0,"{""build_active_indices_ms"":25.511664,""build_events_ms"":36.343485,""build_ranks_ms"":43.698197,""build_y_domain_ms"":14.215103,""phase1_count_ms"":258.735021,""phase2_plan_ms"":7.868231,""phase3_sample_ms"":163.061045,""run_build_ms"":123.182881,""run_count_ms"":258.738561,""run_sample_ms"":170.935696}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,1000,1,2,1,594.205,2.16826e+07,1,0,0,0,,0,"{""build_active_indices_ms"":5.419090,""build_events_ms"":68.232022,""build_ranks_ms"":43.427392,""build_y_domain_ms"":13.841890,""phase1_count_ms"":254.328471,""phase2_plan_ms"":6.107886,""phase3_sample_ms"":162.225662,""run_build_ms"":132.671650,""run_count_ms"":254.331750,""run_sample_ms"":168.340288}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,1000,2,3,1,592.867,2.16826e+07,1,0,0,0,,0,"{""build_active_indices_ms"":5.397510,""build_events_ms"":66.891618,""build_ranks_ms"":43.368174,""build_y_domain_ms"":13.844110,""phase1_count_ms"":253.495738,""phase2_plan_ms"":7.169555,""phase3_sample_ms"":162.935757,""run_build_ms"":131.249577,""run_count_ms"":253.499008,""run_sample_ms"":170.111882}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,1000,0,1,1,588.105,2.16826e+07,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":23.163872,""build_events_ms"":34.308116,""build_ranks_ms"":43.286555,""build_y_domain_ms"":13.825291,""phase1_count_adaptive_ms"":270.045924,""phase2_plan_ms"":6.781552,""phase3_sample_ms"":162.522606,""run_build_ms"":116.321249,""run_fallback_count_ms"":270.049594,""run_fallback_sample_ms"":169.310928,""run_pilot_enum_prepare_ms"":1.549399,""run_pilot_enum_scan_ms"":30.847396,""sample_ms"":169.309438}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,1000,1,2,1,634.177,2.16826e+07,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":5.480539,""build_events_ms"":66.293901,""build_ranks_ms"":43.297645,""build_y_domain_ms"":13.844840,""phase1_count_adaptive_ms"":267.302289,""phase2_plan_ms"":5.941340,""phase3_sample_ms"":163.605183,""run_build_ms"":130.666780,""run_fallback_count_ms"":267.306169,""run_fallback_sample_ms"":169.553413,""run_pilot_enum_prepare_ms"":1.515629,""run_pilot_enum_scan_ms"":27.059653,""sample_ms"":169.551623}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,1000,2,3,1,633.713,2.16826e+07,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":5.407891,""build_events_ms"":42.030781,""build_ranks_ms"":43.291305,""build_y_domain_ms"":13.834860,""phase1_count_adaptive_ms"":268.468845,""phase2_plan_ms"":5.313923,""phase3_sample_ms"":162.352458,""run_build_ms"":106.382961,""run_fallback_count_ms"":268.471445,""run_fallback_sample_ms"":167.673861,""run_pilot_enum_prepare_ms"":1.542079,""run_pilot_enum_scan_ms"":27.577763,""sample_ms"":167.672431}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,1000,0,1,1,691.914,2.16826e+07,1,0,0,0,,0,"{""build_ms"":35.994572,""phase1_count_ms"":558.969475,""phase2_assign_ms"":5.636946,""phase3_sample_ms"":91.289406,""run_build_ms"":36.008192,""run_count_ms"":558.971875,""run_sample_ms"":96.931432}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,1000,1,2,1,691.78,2.16826e+07,1,0,0,0,,0,"{""build_ms"":35.962822,""phase1_count_ms"":559.043494,""phase2_assign_ms"":5.626356,""phase3_sample_ms"":91.137189,""run_build_ms"":35.964252,""run_count_ms"":559.045334,""run_sample_ms"":96.767954}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,1000,2,3,1,690.418,2.16826e+07,1,0,0,0,,0,"{""build_ms"":35.966193,""phase1_count_ms"":557.844417,""phase2_assign_ms"":5.633526,""phase3_sample_ms"":90.962762,""run_build_ms"":35.967683,""run_count_ms"":557.846967,""run_sample_ms"":96.601358}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,1000,0,1,1,794.72,2.16826e+07,1,0,1,0,fallback_sampling,1000001,"{""build_ms"":35.987662,""enumerate_prepare_ms"":34.395985,""phase1_count_ms"":564.623121,""phase2_assign_ms"":5.613057,""phase3_sample_ms"":89.939612,""run_build_ms"":35.988432,""run_fallback_count_ms"":564.626001,""run_fallback_sample_ms"":95.558939,""run_pilot_enum_prepare_ms"":34.398495,""run_pilot_enum_scan_ms"":64.131864}",,"{""dataset"":{""source"":""synthetic"",""name"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""clustered"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/clustered_t"",""run_tag"":""exp5_clustered_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""clustered"",""dataset"":""clustered_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""clusters=10, sigma=0.05, w_min_r=0.003, w_max_r=0.02, share_clusters=1""}"
