dataset,generator,alpha,n_r,n_s,method,variant,t,repeats_ok,build_ms,count_ms,enum_ms,sample_ms,run_total_ms_from_phases,wall_ms,build_pct,count_pct,enum_pct,sample_pct
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,aabb,adaptive,100000,3,35.419381,0.0,602.4408050000001,0.273675,639.3613750000001,639.373,5.539806185508156,0.0,94.2253987426125,0.04280443121857337
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,interval_tree,adaptive,100000,3,133.500771,0.0,536.402326,0.412142,670.315239,709.694,19.91611755674258,0.0,80.02239764088073,0.0614848023766919
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,kd_tree,adaptive,100000,3,94.236428,0.0,366.64998,0.260114,463.464874,463.48,20.33302484968904,0.0,79.11062964396307,0.05612377864908053
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,ours,adaptive,100000,3,104.626657,0.0,221.539644,0.310204,326.408996,366.208,32.05385215547184,0.0,67.8717948080083,0.0950353709001329
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,pbsm,adaptive,100000,3,22.737609,0.0,2.8233740000000003,0.216825,25.791135999999998,25.7969,88.16055640201347,0.0,10.947071117766974,0.8406958111500014
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,r_tree,adaptive,100000,3,35.610527,0.0,385.600888,0.272005,421.483009,421.819,8.4488641865988,0.0,91.48669810317313,0.06453522305569381
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,range_tree,adaptive,100000,3,90.20269,0.0,1174.587092,0.273544,1264.758233,1264.77,7.132010501804735,0.0,92.87048396703341,0.021628165198905647
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,rejection,adaptive,100000,3,300.469238,0.0,1272.9090840000001,0.271165,1573.571726,1584.2,19.094727811600247,0.0,80.89298142358719,0.017232452484978112
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,sirs,adaptive,100000,3,118.715173,0.0,3345.669344,0.268884,3464.946556,3464.96,3.4261761640862662,0.0,96.55760312396576,0.007760119691727794
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tlsop,adaptive,100000,3,389.595457,0.0,528.5028209999999,0.269524,918.367802,919.312,42.4225954080215,0.0,57.548056437631935,0.02934815434655232
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tsunami,adaptive,100000,3,85.83946,0.0,5710.511947,0.273625,5796.700581,5796.72,1.4808330842782924,0.0,98.5131432476864,0.004720357661682026
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,aabb,enum_sampling,100000,3,0.00088,0.0,612.543049,527.988305,1140.721502,1140.79,7.714415818910372e-05,0.0,53.69786121555899,46.28546968513266
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,interval_tree,enum_sampling,100000,3,0.00116,0.0,549.547191,224.848703,774.3972540000001,820.683,0.00014979391959465805,0.0,70.96450667424499,29.03531770529754
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,kd_tree,enum_sampling,100000,3,0.0008,0.0,366.75511,262.847536,630.612046,630.687,0.000126860881436445,0.0,58.15859565740043,41.681337625447135
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,ours,enum_sampling,100000,3,102.525321,0.0,223.803884,99.885025,426.536623,465.969,24.03669825087915,0.0,52.470027644027184,23.41769020851464
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,pbsm,enum_sampling,100000,3,22.750781,0.0,2.793633,11.281542,36.849925000000006,36.9021,61.739015751049685,0.0,7.581109052460756,30.614830287985654
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,r_tree,enum_sampling,100000,3,35.234279,0.0,385.446652,304.067715,724.747697,725.112,4.861592405998359,0.0,53.18356354846065,41.95497498766112
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,range_tree,enum_sampling,100000,3,0.00072,0.0,1177.3036749999999,747.3454909999999,1924.4947889999999,1924.57,3.7412416189192396e-05,0.0,61.17468759745236,38.8333340922338
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,rejection,enum_sampling,100000,3,304.82896,0.0,1274.96395,9.211255,1588.952655,1596.76,19.18426952752724,0.0,80.23926615988441,0.5797060706003225
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,sirs,enum_sampling,100000,3,118.811823,0.0,3349.454583,9.42151,3478.085138,3478.15,3.416012497851627,0.0,96.30168469441303,0.27088209822884446
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tlsop,enum_sampling,100000,3,388.358364,0.0,527.413309,503.394593,1419.0684079999999,1420.1,27.367134791432836,0.0,37.166165212804884,35.473595928294394
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tsunami,enum_sampling,100000,3,85.987156,0.0,5672.699498,9.984158,5768.670812,5768.75,1.4905887127608208,0.0,98.33633574999008,0.17307553724908234
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,aabb,sampling,100000,3,35.413321,460.022753,0.0,180.87935,675.737426,675.74,5.240692558591538,68.07714584096458,0.0,26.76769748727814
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,interval_tree,sampling,100000,3,137.064808,394.337237,0.0,257.493445,789.4136100000001,821.766,17.362863556406126,49.95318449095399,0.0,32.61831842498889
