method,variant,n_rows,n_ok,n_failed,n_failed_create_or_args,n_quality_skipped,n_no_run_blocks,t_median,oracle_median,rel_err_median,missing_median,chi2_p_median,ks_p_median,autocorr_median
,,4,0,0,0,0,4,,,,,,,
aabb,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.44471663870778205,0.0006028044997573469
aabb,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.44471663870778205,0.0006028044997573469
aabb,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.6019132279057662,0.3091248047540005,0.0016544384697096664
interval_tree,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.7140119598198725,0.00037432886546846756
interval_tree,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.7140119598198725,0.00037432886546846756
interval_tree,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.11809045834550141,0.3601467088061405,-0.0015455991344617422
kd_tree,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.47222477189396295,-0.0017362214854404234
kd_tree,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.47222477189396295,-0.0017362214854404234
kd_tree,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.49935067343245154,0.34715486103337656,-0.0004113257057512553
ours,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.8265733753350722,-0.0005671247311334963
ours,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.8265733753350722,-0.0005671247311334963
ours,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.46089164453191833,0.6412078169340206,0.0007377297802984099
pbsm,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.23073189459573076,0.0006210680566198211
pbsm,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.23073189459573076,0.0006210680566198211
pbsm,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.23073189459573076,0.0006210680566198211
r_tree,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.6945126577411647,0.003122156607902652
r_tree,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.6945126577411647,0.003122156607902652
r_tree,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.25620419972730757,0.39406167180245893,-0.0003978168432510862
range_tree,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.20811637418296713,0.00027596884306150567
range_tree,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.20811637418296713,0.00027596884306150567
range_tree,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.45132956766871646,0.5966819654295739,0.0018000679588350014
rejection,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.46099931798094607,-0.0004643720901242201
rejection,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.46099931798094607,-0.0004643720901242201
rejection,sampling,5,5,0,0,0,0,100000.0,4000.0,0.006720389999999952,0.0,0.5275369895044904,0.5495755935984632,-0.0034421539400102557
sirs,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.7589656095773282,-1.4412047630350451e-05
sirs,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.7589656095773282,-1.4412047630350451e-05
sirs,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.631067465192682,0.17987547955389613,-0.0013839372919854404
tlsop,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.6176495374244168,0.00010353072246373689
tlsop,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.6176495374244168,0.00010353072246373689
tlsop,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.6176495374244168,0.00010353072246373689
tsunami,adaptive,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.9085810985161855,0.0010086429669092997
tsunami,enum_sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.9085810985161855,0.0010086429669092997
tsunami,sampling,5,5,0,0,0,0,100000.0,4000.0,0.0,0.0,0.402029440620366,0.9085810985161855,0.0010086429669092997
