dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,sampling,100000,3,1,362.895,7.35702,366.337,367.744,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,ours,adaptive,100000,3,1,355.129,17.051,364.035,365.698,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,aabb,sampling,100000,3,1,499.26,1.10044,499.6,500.095,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,aabb,adaptive,100000,3,1,631.299,1.53575,630.945,632.777,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,interval_tree,sampling,100000,3,1,555.33,8.28834,559.056,560.896,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,interval_tree,adaptive,100000,3,1,719.381,29.3232,704.914,748.305,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,kd_tree,sampling,100000,3,1,273.328,1.81881,272.43,275.122,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,kd_tree,adaptive,100000,3,1,458.961,2.42911,460.117,460.548,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,r_tree,sampling,100000,3,1,345.741,2.31011,344.75,348.018,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,r_tree,adaptive,100000,3,1,415.297,1.1772,414.772,416.458,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,range_tree,sampling,100000,3,1,1079.79,1.28325,1080.12,1080.81,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,range_tree,adaptive,100000,3,1,1255.81,4.10321,1257.23,1258.85,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,pbsm,sampling,100000,3,1,25.0949,0.103237,25.106,25.1836,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,pbsm,adaptive,100000,3,1,25.9642,1.51949,25.1372,27.4597,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,tlsop,sampling,100000,3,1,918.983,3.58997,919.814,921.858,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,tlsop,adaptive,100000,3,1,919.186,1.33598,918.45,920.5,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,sirs,sampling,100000,3,1,2839.55,1.80086,2840.42,2840.72,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,sirs,adaptive,100000,3,1,3465.62,1.95053,3466.56,3466.89,0,0,1,
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
stripe_alpha__nr100000__ns100000__a0_000ep00__g1,stripe_ctrl_alpha,0,100000,100000,rejection,adaptive,100000,3,1,1577.74,8.56415,1580.83,1583.98,0,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,ours,sampling,100000,3,1,490.908,28.6134,506.075,508.478,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,ours,adaptive,100000,3,1,350.604,30.1511,366.053,369.515,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,aabb,sampling,100000,3,1,670.918,2.12279,671.295,672.674,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,aabb,adaptive,100000,3,1,630.865,1.5056,631.446,631.939,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,interval_tree,sampling,100000,3,1,798.21,20.5588,808.256,811.459,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,interval_tree,adaptive,100000,3,1,709.976,13.1637,708.189,722.367,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,kd_tree,sampling,100000,3,1,326.914,0.0329268,326.919,326.942,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,kd_tree,adaptive,100000,3,1,460.837,2.9932,460.89,463.512,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,r_tree,sampling,100000,3,1,596.203,1.70352,597.044,597.294,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,r_tree,adaptive,100000,3,1,417.377,4.3869,415.246,421.705,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,range_tree,sampling,100000,3,1,1775.36,2.9805,1774.22,1778.29,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,range_tree,adaptive,100000,3,1,1268.71,1.41779,1269.4,1269.63,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,pbsm,sampling,100000,3,1,35.5373,0.152839,35.4794,35.6875,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,pbsm,adaptive,100000,3,1,25.6886,0.0368348,25.7031,25.7146,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,tlsop,sampling,100000,3,1,1421.67,4.20215,1420.8,1425.69,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,tlsop,adaptive,100000,3,1,922.768,8.32039,921.96,930.513,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,sirs,sampling,100000,3,1,2878.1,14.9895,2870.46,2892.88,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,sirs,adaptive,100000,3,1,3470.09,2.72284,3468.71,3472.77,6000,0,1,
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
stripe_alpha__nr100000__ns100000__a3_000em02__g1,stripe_ctrl_alpha,0.03,100000,100000,rejection,adaptive,100000,3,1,1594.53,12.6822,1601.04,1602.47,6000,0,1,
