run_id,regime,alpha,t,repeats,seed,gen_seed,N,method,variant,exit_code,rss_kb,enum_truncated_any,run_csv
20251228_165406,alpha100,100,100000,5,1,1,50000,ours,sampling,0,99684,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/ours/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,ours,enum_sampling,0,97568,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/ours/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,ours,adaptive,0,112344,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/ours/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,aabb,sampling,0,33492,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/aabb/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,aabb,enum_sampling,0,34804,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/aabb/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,aabb,adaptive,0,64324,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/aabb/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,interval_tree,sampling,0,150832,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/interval_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,interval_tree,enum_sampling,0,145328,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/interval_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,interval_tree,adaptive,0,300100,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/interval_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,kd_tree,sampling,0,30176,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/kd_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,50000,kd_tree,enum_sampling,0,31448,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N50000/kd_tree/enum_sampling/run.csv
