dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,1000,3,1,579.979,23.4906,592.867,594.071,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,1000,3,1,618.665,26.4669,633.713,634.131,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,1000,3,1,691.371,0.827774,691.78,691.901,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,1000,3,1,794.663,0.216989,794.72,794.833,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,sampling,1000,3,1,1002.38,34.6583,1021.65,1022.97,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,adaptive,1000,3,1,1228.21,15.7275,1235.61,1238.56,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,sampling,1000,3,1,524.227,1.36205,524.891,525.106,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,adaptive,1000,3,1,841.465,2.31214,841.194,843.63,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,sampling,1000,3,1,400.052,1.51651,400.695,401.096,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,adaptive,1000,3,1,503.916,0.828078,503.959,504.645,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,sampling,1000,3,1,1897.68,1.20874,1897.81,1898.72,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,adaptive,1000,3,1,2255.89,2.81473,2256.77,2258.03,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,sampling,1000,3,1,1606.86,10.4723,1611.52,1613.92,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,adaptive,1000,3,1,1692.73,9.84825,1691.98,1701.84,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,sampling,1000,3,1,616.201,1.6057,616.345,617.591,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,adaptive,1000,3,1,635.744,1.89564,636.243,637.231,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,sampling,1000,3,1,694.67,1.49216,695.162,695.785,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,adaptive,1000,3,1,756.508,1.82598,757.138,757.856,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,sampling,1000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,adaptive,1000,3,1,214.058,2.98923,215.37,216.087,2.15307e+07,246788,0,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,3000,3,1,567.184,41.3032,590.472,591.474,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,3000,3,1,607.871,37.4989,627.365,631.183,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,3000,3,1,702.628,1.70204,703.367,703.788,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,3000,3,1,804.312,1.60927,805.188,805.283,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,sampling,3000,3,1,998.494,43.6765,1023.41,1023.95,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,adaptive,3000,3,1,1208.9,31.4245,1219.19,1232.42,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,sampling,3000,3,1,529.245,1.72924,529.095,530.849,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,adaptive,3000,3,1,847.019,0.811307,847.29,847.624,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,sampling,3000,3,1,406.725,1.49859,407.563,407.611,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,adaptive,3000,3,1,510.235,1.49422,509.824,511.685,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,sampling,3000,3,1,1896.04,2.57284,1896.16,1898.31,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,adaptive,3000,3,1,2253.84,4.09473,2252.26,2257.87,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,sampling,3000,3,1,1615.43,6.01966,1617.69,1619.77,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,adaptive,3000,3,1,1698.69,2.15148,1698.93,1700.53,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,sampling,3000,3,1,616.933,3.85978,619.069,619.234,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,adaptive,3000,3,1,635.534,2.13774,636.398,637.034,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,sampling,3000,3,1,725.578,1.17926,726.122,726.36,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,sirs,adaptive,3000,3,1,788,2.01442,788.848,789.391,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,sampling,3000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,rejection,adaptive,3000,3,1,216.176,6.44368,217.911,221.208,2.15307e+07,246788,0,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,sampling,10000,3,1,570.545,39.9214,592.415,594.518,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,ours,adaptive,10000,3,1,606.08,40.3567,624.377,633.079,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,sampling,10000,3,1,740.981,0.699558,741.359,741.406,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,aabb,adaptive,10000,3,1,841.898,1.74583,842.89,842.92,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,sampling,10000,3,1,1008.46,44.1677,1032.72,1034.93,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,interval_tree,adaptive,10000,3,1,1216.97,27.9254,1229.54,1235.71,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,sampling,10000,3,1,560.678,2.29242,561.887,562.09,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,kd_tree,adaptive,10000,3,1,868.148,1.33783,868.65,869.111,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,sampling,10000,3,1,425.736,2.09272,425.622,427.657,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,r_tree,adaptive,10000,3,1,527.338,2.86906,527.723,529.767,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,sampling,10000,3,1,1922.31,1.35162,1921.72,1923.64,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,range_tree,adaptive,10000,3,1,2277.97,1.6617,2277.33,2279.6,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,sampling,10000,3,1,1625,8.25694,1628.83,1630.46,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,pbsm,adaptive,10000,3,1,1690.98,5.44954,1690.11,1696.14,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,sampling,10000,3,1,619.221,2.54163,618.085,621.728,2.16826e+07,0,1,
clustered_t__nr100000__ns100000__a1_000ep00__g1,clustered,1,100000,100000,tlsop,adaptive,10000,3,1,635.709,1.77034,636.228,637.068,2.16826e+07,0,1,
