dataset,generator,alpha,n_r,n_s,method,variant,t,rep,seed,ok,wall_ms,count_value,count_exact,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,sampling,1000,0,1,1,549.497,8.06931e+06,1,0,0,0,,0,"{""build_active_indices_ms"":25.389080,""build_events_ms"":37.224652,""build_ranks_ms"":44.041772,""build_y_domain_ms"":14.189537,""phase1_count_ms"":260.405851,""phase2_plan_ms"":6.459076,""phase3_sample_ms"":158.356577,""run_build_ms"":124.261135,""run_count_ms"":260.409051,""run_sample_ms"":164.822173}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,sampling,1000,1,2,1,591.811,8.06931e+06,1,0,0,0,,0,"{""build_active_indices_ms"":5.618862,""build_events_ms"":67.746494,""build_ranks_ms"":43.696018,""build_y_domain_ms"":13.828013,""phase1_count_ms"":257.317381,""phase2_plan_ms"":4.679590,""phase3_sample_ms"":158.095042,""run_build_ms"":132.672482,""run_count_ms"":257.320551,""run_sample_ms"":162.781762}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,sampling,1000,2,3,1,591.284,8.06931e+06,1,0,0,0,,0,"{""build_active_indices_ms"":5.482305,""build_events_ms"":66.700614,""build_ranks_ms"":43.727627,""build_y_domain_ms"":13.818843,""phase1_count_ms"":257.086685,""phase2_plan_ms"":5.706110,""phase3_sample_ms"":158.170922,""run_build_ms"":131.506345,""run_count_ms"":257.089094,""run_sample_ms"":163.882712}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,adaptive,1000,0,1,1,607.262,8.06931e+06,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":21.700962,""build_events_ms"":33.924826,""build_ranks_ms"":43.660778,""build_y_domain_ms"":13.821054,""phase1_count_adaptive_ms"":257.917708,""phase2_plan_ms"":5.510124,""phase3_sample_ms"":156.688410,""run_build_ms"":114.865816,""run_fallback_count_ms"":257.920968,""run_fallback_sample_ms"":162.205083,""run_pilot_enum_prepare_ms"":1.562819,""run_pilot_enum_scan_ms"":70.683168,""sample_ms"":162.203513}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,adaptive,1000,1,2,1,658.538,8.06931e+06,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":5.397996,""build_events_ms"":66.088917,""build_ranks_ms"":43.568521,""build_y_domain_ms"":13.832123,""phase1_count_adaptive_ms"":258.121994,""phase2_plan_ms"":4.144061,""phase3_sample_ms"":157.980244,""run_build_ms"":130.667121,""run_fallback_count_ms"":258.125614,""run_fallback_sample_ms"":162.130625,""run_pilot_enum_prepare_ms"":1.520860,""run_pilot_enum_scan_ms"":67.752754,""sample_ms"":162.129375}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,ours,adaptive,1000,2,3,1,671.437,8.06931e+06,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":5.363057,""build_events_ms"":65.884550,""build_ranks_ms"":43.571720,""build_y_domain_ms"":13.829464,""phase1_count_adaptive_ms"":270.870358,""phase2_plan_ms"":4.259648,""phase3_sample_ms"":159.303238,""run_build_ms"":130.433286,""run_fallback_count_ms"":270.873208,""run_fallback_sample_ms"":163.568866,""run_pilot_enum_prepare_ms"":1.549370,""run_pilot_enum_scan_ms"":66.681185,""sample_ms"":163.567876}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,aabb,sampling,1000,0,1,1,780.61,8.06931e+06,1,0,0,0,,0,"{""build_ms"":35.553514,""phase1_count_ms"":648.672645,""phase2_assign_ms"":4.270007,""phase3_sample_ms"":92.092005,""run_build_ms"":35.564704,""run_count_ms"":648.675575,""run_sample_ms"":96.366862}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,aabb,sampling,1000,1,2,1,779.803,8.06931e+06,1,0,0,0,,0,"{""build_ms"":35.503615,""phase1_count_ms"":648.539827,""phase2_assign_ms"":4.251798,""phase3_sample_ms"":91.497776,""run_build_ms"":35.505125,""run_count_ms"":648.542187,""run_sample_ms"":95.753964}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,aabb,sampling,1000,2,3,1,780.445,8.06931e+06,1,0,0,0,,0,"{""build_ms"":35.526975,""phase1_count_ms"":648.823920,""phase2_assign_ms"":4.258678,""phase3_sample_ms"":91.825829,""run_build_ms"":35.528795,""run_count_ms"":648.826641,""run_sample_ms"":96.088087}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
hetero_t__nr100000__ns100000__a1_000ep00__g1,hetero_sizes,1,100000,100000,aabb,adaptive,1000,0,1,1,963.158,8.06931e+06,1,0,1,0,fallback_sampling,1000001,"{""build_ms"":35.567234,""enumerate_prepare_ms"":33.957635,""phase1_count_ms"":681.195616,""phase2_assign_ms"":4.258118,""phase3_sample_ms"":90.861058,""run_build_ms"":35.568144,""run_fallback_count_ms"":681.197856,""run_fallback_sample_ms"":95.124745,""run_pilot_enum_prepare_ms"":33.960195,""run_pilot_enum_scan_ms"":117.292489}",,"{""dataset"":{""source"":""synthetic"",""name"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""hetero_sizes"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/hetero_t"",""run_tag"":""exp5_hetero_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""hetero_sizes"",""dataset"":""hetero_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""p_large_r=0.1, w_small=[0.002,0.01], w_large=[0.1,0.3], anisotropic=1""}"
