dataset,generator,alpha,n_r,n_s,method,variant,t,rep,seed,ok,wall_ms,count_value,count_exact,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,1000,0,1,1,581.877,6.33447e+06,1,0,0,0,,0,"{""build_active_indices_ms"":25.388223,""build_events_ms"":39.413339,""build_ranks_ms"":44.346849,""build_y_domain_ms"":14.347008,""phase1_count_ms"":275.397110,""phase2_plan_ms"":8.024617,""phase3_sample_ms"":171.498573,""run_build_ms"":126.943039,""run_count_ms"":275.400021,""run_sample_ms"":179.530290}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,1000,1,2,1,629.562,6.33447e+06,1,0,0,0,,0,"{""build_active_indices_ms"":5.403540,""build_events_ms"":68.066746,""build_ranks_ms"":43.966037,""build_y_domain_ms"":13.967545,""phase1_count_ms"":273.008709,""phase2_plan_ms"":6.283063,""phase3_sample_ms"":179.101918,""run_build_ms"":133.179232,""run_count_ms"":273.011518,""run_sample_ms"":185.390501}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,1000,2,3,1,619.369,6.33447e+06,1,0,0,0,,0,"{""build_active_indices_ms"":5.513198,""build_events_ms"":66.770833,""build_ranks_ms"":43.996416,""build_y_domain_ms"":14.002595,""phase1_count_ms"":270.639406,""phase2_plan_ms"":7.356421,""phase3_sample_ms"":171.376615,""run_build_ms"":132.049526,""run_count_ms"":270.642897,""run_sample_ms"":178.739966}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,1000,0,1,1,636.302,6.33447e+06,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":22.948204,""build_events_ms"":34.511618,""build_ranks_ms"":44.391237,""build_y_domain_ms"":13.967716,""phase1_count_adaptive_ms"":269.968521,""phase2_plan_ms"":7.150585,""phase3_sample_ms"":169.402686,""run_build_ms"":117.598469,""run_fallback_count_ms"":269.971881,""run_fallback_sample_ms"":176.560831,""run_pilot_enum_prepare_ms"":1.573298,""run_pilot_enum_scan_ms"":70.573125,""sample_ms"":176.559301}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,1000,1,2,1,690.818,6.33447e+06,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":5.488798,""build_events_ms"":66.587036,""build_ranks_ms"":43.977806,""build_y_domain_ms"":13.964926,""phase1_count_adaptive_ms"":272.285234,""phase2_plan_ms"":5.761563,""phase3_sample_ms"":169.738909,""run_build_ms"":131.789091,""run_fallback_count_ms"":272.288644,""run_fallback_sample_ms"":175.507732,""run_pilot_enum_prepare_ms"":1.540208,""run_pilot_enum_scan_ms"":71.251452,""sample_ms"":175.506202}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,1000,2,3,1,680.041,6.33447e+06,1,0,1,0,fallback_sampling,1000001,"{""build_active_indices_ms"":5.389831,""build_events_ms"":58.229496,""build_ranks_ms"":43.954417,""build_y_domain_ms"":13.964656,""phase1_count_adaptive_ms"":269.347894,""phase2_plan_ms"":5.808312,""phase3_sample_ms"":169.334687,""run_build_ms"":123.305514,""run_fallback_count_ms"":269.352444,""run_fallback_sample_ms"":175.149869,""run_pilot_enum_prepare_ms"":1.514809,""run_pilot_enum_scan_ms"":69.017527,""sample_ms"":175.148609}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,1000,0,1,1,407.399,6.33447e+06,1,0,0,0,,0,"{""build_ms"":36.210974,""phase1_count_ms"":282.193442,""phase2_assign_ms"":5.861270,""phase3_sample_ms"":83.106911,""run_build_ms"":36.226653,""run_count_ms"":282.196263,""run_sample_ms"":88.973221}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,1000,1,2,1,406.505,6.33447e+06,1,0,0,0,,0,"{""build_ms"":36.146535,""phase1_count_ms"":281.334880,""phase2_assign_ms"":5.877541,""phase3_sample_ms"":83.135530,""run_build_ms"":36.147365,""run_count_ms"":281.337480,""run_sample_ms"":89.018060}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,1000,2,3,1,407.812,6.33447e+06,1,0,0,0,,0,"{""build_ms"":36.161005,""phase1_count_ms"":282.591765,""phase2_assign_ms"":5.901850,""phase3_sample_ms"":83.146550,""run_build_ms"":36.162675,""run_count_ms"":282.594425,""run_sample_ms"":89.053000}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""sampling"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,1000,0,1,1,549.783,6.33447e+06,1,0,1,0,fallback_sampling,1000001,"{""build_ms"":36.178335,""enumerate_prepare_ms"":34.592506,""phase1_count_ms"":305.739594,""phase2_assign_ms"":5.914290,""phase3_sample_ms"":81.792327,""run_build_ms"":36.179755,""run_fallback_count_ms"":305.741904,""run_fallback_sample_ms"":87.712537,""run_pilot_enum_prepare_ms"":34.594976,""run_pilot_enum_scan_ms"":85.541001}",,"{""dataset"":{""source"":""synthetic"",""name"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""uniform"",""n_r"":100000,""n_s"":100000,""alpha"":1,""seed"":1}},""run"":{""method"":""aabb"",""variant"":""adaptive"",""t"":1000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""run/temp/exp5/uniform_t"",""run_tag"":""exp5_uniform_t""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""uniform"",""dataset"":""uniform_t__nr100000__ns100000__a1_000ep00__g1"",""n_r"":100000,""n_s"":100000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":1,""alpha_achieved"":nan,""notes"":""w_min_r=0.005, w_max_r=0.02, w_min_s=0.005, w_max_s=0.02, same_size_all_dims=0""}"
