dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,1000,3,1,610.269,25.111,619.369,628.543,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,1000,3,1,669.053,28.8713,680.041,689.74,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,1000,3,1,407.239,0.668397,407.399,407.771,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,1000,3,1,550.119,0.515578,549.862,550.628,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,sampling,1000,3,1,1071.31,36.2658,1091.03,1093.2,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,adaptive,1000,3,1,1401.26,17.164,1410.04,1412.04,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,sampling,1000,3,1,470.077,1.67648,470.614,471.339,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,adaptive,1000,3,1,908.556,0.53832,908.327,909.086,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,sampling,1000,3,1,288.881,2.17696,287.787,291.028,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,adaptive,1000,3,1,413.575,1.634,412.649,415.18,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,sampling,1000,3,1,2108.82,0.780844,2109,2109.45,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,adaptive,1000,3,1,2690.68,2.90826,2690.68,2693.3,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,sampling,1000,3,1,510.119,1.4192,510.31,511.32,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,adaptive,1000,3,1,554.822,2.87771,555.738,556.99,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,sampling,1000,3,1,247.785,1.29738,247.139,249.065,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,adaptive,1000,3,1,269.415,1.95216,268.727,271.328,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,sampling,1000,3,1,469.555,1.59473,469.151,471.097,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,adaptive,1000,3,1,570.333,2.06324,571.226,571.742,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,sampling,1000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,adaptive,1000,3,1,231.206,6.60661,231.786,236.933,6.34799e+06,11640.3,0,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,3000,3,1,593.396,43.0952,617.067,619.228,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,3000,3,1,669.645,43.0086,691.399,696.828,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,3000,3,1,410.867,1.47625,410.207,412.323,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,3000,3,1,554.46,2.13087,555.543,555.804,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,sampling,3000,3,1,1066.36,43.208,1084.59,1096.18,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,adaptive,3000,3,1,1381.35,34.9631,1399.01,1403.46,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,sampling,3000,3,1,486.735,2.22027,486.019,488.905,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,adaptive,3000,3,1,923.562,1.94694,923.135,925.431,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,sampling,3000,3,1,293.735,1.81539,294.604,294.917,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,adaptive,3000,3,1,417.164,2.0127,417.674,418.753,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,sampling,3000,3,1,2105.06,2.39756,2106.08,2106.7,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,adaptive,3000,3,1,2688.08,0.920025,2688.48,2688.71,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,sampling,3000,3,1,509.704,2.32109,510.998,511.081,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,adaptive,3000,3,1,556.81,2.02038,557.973,557.979,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,sampling,3000,3,1,246.973,0.484699,247.137,247.333,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,adaptive,3000,3,1,269.373,1.37992,268.604,270.73,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,sampling,3000,3,1,483.033,1.75196,483.891,484.161,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,adaptive,3000,3,1,581.975,1.79276,581.376,583.729,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,sampling,3000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,adaptive,3000,3,1,232.983,3.97377,234.354,235.915,6.34799e+06,11640.3,0,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,sampling,10000,3,1,591.652,37.7104,612.258,614.338,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,ours,adaptive,10000,3,1,664.783,39.098,684.991,689.176,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,sampling,10000,3,1,422.548,1.56017,421.703,424.084,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,aabb,adaptive,10000,3,1,566.755,1.62199,567.462,567.859,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,sampling,10000,3,1,1081.55,41.8424,1102.76,1107.97,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,interval_tree,adaptive,10000,3,1,1393.03,26.7321,1406.89,1409.68,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,sampling,10000,3,1,502.677,3.32332,502.929,505.573,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,kd_tree,adaptive,10000,3,1,938.42,3.58293,938.407,941.65,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,sampling,10000,3,1,301.21,2.49153,301.622,303.285,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,r_tree,adaptive,10000,3,1,423.904,0.960814,423.612,424.84,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,sampling,10000,3,1,2128.46,1.15675,2128.38,2129.52,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,range_tree,adaptive,10000,3,1,2713.9,6.07665,2712.87,2719.66,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,sampling,10000,3,1,510.988,3.6994,510.701,514.41,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,pbsm,adaptive,10000,3,1,554.459,1.42479,553.744,555.864,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,sampling,10000,3,1,248.275,0.993571,247.701,249.25,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,tlsop,adaptive,10000,3,1,269.958,1.98501,269.567,271.856,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,sampling,10000,3,1,528.567,1.18086,529.201,529.285,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,sirs,adaptive,10000,3,1,628.661,1.24451,628.567,629.812,6.33447e+06,0,1,
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,sampling,10000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
uniform_t__nr100000__ns100000__a1_000ep00__g1,uniform,1,100000,100000,rejection,adaptive,10000,3,1,236.149,3.48184,237.42,238.677,6.34799e+06,11640.3,0,
