dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,sampling,1000,3,1,501.698,10.6849,506.708,508.732,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,enum_sampling,1000,3,1,448.206,17.8944,458.048,458.923,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,adaptive,1000,3,1,354.284,28.936,368.898,372.589,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,sampling,3000,3,1,488.103,29.2036,504.765,505.122,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,enum_sampling,3000,3,1,443.469,30.6199,460.858,461.378,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,adaptive,3000,3,1,352.738,29.3866,368.031,370.996,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,sampling,10000,3,1,491.227,29.3225,506.247,509.622,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,enum_sampling,10000,3,1,443.345,31.4059,461.208,461.692,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,adaptive,10000,3,1,352.303,29.7927,367.882,370.756,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,sampling,30000,3,1,492.272,32.1994,507.368,513.471,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,enum_sampling,30000,3,1,444.438,29.7863,460.465,462.548,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,adaptive,30000,3,1,350.553,28.5708,367.021,367.071,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,sampling,100000,3,1,492.232,28.7907,508.826,508.877,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,enum_sampling,100000,3,1,451.309,29.6584,468.029,468.752,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,adaptive,100000,3,1,353.626,30.6082,371.054,371.493,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,sampling,300000,3,1,498.744,29.1899,513.944,516.871,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,enum_sampling,300000,3,1,471.965,30.1852,487.727,490.678,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,adaptive,300000,3,1,351.69,28.2142,367.46,368.39,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,sampling,1000000,3,1,523.831,31.7861,539.589,544.152,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,enum_sampling,1000000,3,1,550.686,26.9738,563.74,568.159,2000,0,1,
exp6_stripe__nr100000__ns100000__a1_000em02__g1,stripe,0.01,100000,100000,ours,adaptive,1000000,3,1,357.096,27.6586,371.771,374.069,2000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,sampling,1000,3,1,493.1,28.1967,506.986,511.194,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,enum_sampling,1000,3,1,443.097,28.4259,459.296,459.678,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,adaptive,1000,3,1,352.803,30.6169,370.141,370.75,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,sampling,3000,3,1,491.596,26.1179,505.145,507.855,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,enum_sampling,3000,3,1,443.483,29.6639,459.555,461.433,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,adaptive,3000,3,1,353.458,32.0547,370.959,372.754,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,sampling,10000,3,1,497.07,30.4333,511.095,517.276,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,enum_sampling,10000,3,1,443.578,28.841,458.999,461.187,6000,0,1,
exp6_stripe__nr100000__ns100000__a3_000em02__g1,stripe,0.03,100000,100000,ours,adaptive,10000,3,1,353.634,30.6266,368.877,373.171,6000,0,1,
