dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,ours,sampling,100000,3,1,503.306,14.3383,507.696,514.211,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,ours,adaptive,100000,3,1,355.602,21.0061,366.208,368.893,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,aabb,sampling,100000,3,1,675.854,0.977339,675.74,676.769,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,aabb,adaptive,100000,3,1,640.241,2.93639,639.373,643.1,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,interval_tree,sampling,100000,3,1,814.775,13.6068,821.766,823.294,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,interval_tree,adaptive,100000,3,1,720.46,25.2133,709.694,745.312,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,kd_tree,sampling,100000,3,1,334.48,1.99173,333.398,336.44,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,kd_tree,adaptive,100000,3,1,462.9,1.6446,463.48,464.107,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,r_tree,sampling,100000,3,1,597.49,0.888905,597.889,598.088,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,r_tree,adaptive,100000,3,1,421.1,1.34158,421.819,421.917,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,range_tree,sampling,100000,3,1,1801.53,2.3399,1801.77,1803.55,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,range_tree,adaptive,100000,3,1,1266.13,2.43662,1264.77,1268.53,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,pbsm,sampling,100000,3,1,35.4705,0.324004,35.3511,35.7887,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,pbsm,adaptive,100000,3,1,25.7964,0.048681,25.7969,25.84,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tlsop,sampling,100000,3,1,1419.83,1.73194,1420.73,1420.9,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tlsop,adaptive,100000,3,1,919.403,0.663433,919.312,920.028,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,sirs,sampling,100000,3,1,2886.11,0.252785,2886.02,2886.36,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,sirs,adaptive,100000,3,1,3465.26,1.02846,3464.96,3466.26,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,rejection,sampling,100000,3,0,-1,-1,-1,-1,-1,-1,0,SKIPPED: rejection+sampling is disabled in sjs_sweep; use variant=adaptive.
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,rejection,adaptive,100000,3,1,1583.7,9.87536,1584.2,1592.4,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tsunami,sampling,100000,3,1,5476.79,1.20728,5476.28,5477.98,20000,0,1,
exp7_stripe__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tsunami,adaptive,100000,3,1,5794.11,5.96481,5796.72,5798.17,20000,0,1,
